utb_ms,ute_ms,type,flagcomms
1219363213000,1219365494000,"EARTH","FALSE"
1219365494000,1219369555000,"EARTH","TRUE"
1219369555000,1219369619000,"EARTH","FALSE"
1219369619000,1219370253000,"SLEW","FALSE"
1219370253000,1219373093000,"NADIR","FALSE"
1219373093000,1219374563000,"SLEW","FALSE"
1219374563000,1219376633000,"EARTH","FALSE"
1219376633000,1219381144000,"EARTH","TRUE"
1219381144000,1219386604000,"EARTH","FALSE"
1219386604000,1219386664000,"EARTH","FALSE"
1219386664000,1219394266000,"EARTH","TRUE"
1219394266000,1219394900000,"SLEW","FALSE"
1219394900000,1219397740000,"NADIR","FALSE"
1219397740000,1219399210000,"SLEW","FALSE"
1219399210000,1219404553000,"EARTH","FALSE"
1219404553000,1219405848000,"EARTH","TRUE"
1219405848000,1219411248000,"MAINTENANCE","FALSE"
1219411248000,1219417647000,"EARTH","FALSE"
1219417647000,1219418340000,"SLEW","FALSE"
1219418340000,1219420280000,"INERTIAL","FALSE"
1219420280000,1219420973000,"SLEW","FALSE"
1219420973000,1219422651000,"EARTH","FALSE"
1219422651000,1219424340000,"SLEW","FALSE"
1219424340000,1219427780000,"ACROSS_TRACK","FALSE"
1219427780000,1219429789000,"SLEW","FALSE"
1219429789000,1219436173000,"WARMUP","FALSE"
1219436173000,1219437973000,"SLEW","FALSE"
1219437973000,1219443486000,"EARTH","TRUE"
1219443486000,1219443550000,"EARTH","FALSE"
1219443550000,1219444180000,"SLEW","FALSE"
1219444180000,1219447011000,"NADIR","FALSE"
1219447011000,1219448473000,"SLEW","FALSE"
1219448473000,1219450551000,"EARTH","FALSE"
1219450551000,1219468191000,"EARTH","TRUE"
1219468191000,1219468821000,"SLEW","FALSE"
1219468821000,1219472861000,"NADIR","FALSE"
1219472861000,1219474526000,"SLEW","FALSE"
1219474526000,1219476401000,"EARTH","FALSE"
1219476401000,1219479709000,"EARTH","TRUE"
1219479709000,1219485169000,"EARTH","FALSE"
1219485169000,1219485229000,"EARTH","FALSE"
1219485229000,1219489870000,"EARTH","TRUE"
1219489870000,1219492605000,"EARTH","FALSE"
1219492605000,1219492981000,"SLEW","FALSE"
1219492981000,1219495581000,"INERTIAL","FALSE"
1219495581000,1219495957000,"SLEW","FALSE"
1219495957000,1219504413000,"EARTH","TRUE"
1219504413000,1219509813000,"MAINTENANCE","FALSE"
1219509813000,1219517483000,"EARTH","TRUE"
1219517483000,1219518109000,"SLEW","FALSE"
1219518109000,1219521145000,"NADIR","FALSE"
1219521145000,1219522646000,"SLEW","FALSE"
1219522646000,1219524685000,"EARTH","FALSE"
1219524685000,1219533609000,"EARTH","TRUE"
1219533609000,1219538051000,"EARTH","FALSE"
1219538051000,1219542061000,"EARTH","TRUE"
1219542061000,1219542125000,"EARTH","FALSE"
1219542125000,1219542751000,"SLEW","FALSE"
1219542751000,1219545605000,"NADIR","FALSE"
1219545605000,1219547067000,"SLEW","FALSE"
1219547067000,1219549145000,"EARTH","FALSE"
1219549145000,1219567133000,"EARTH","TRUE"
1219567133000,1219567697000,"SLEW","FALSE"
1219567697000,1219571737000,"ACROSS_TRACK","FALSE"
1219571737000,1219573438000,"SLEW","FALSE"
1219573438000,1219578344000,"EARTH","FALSE"
1219578344000,1219583744000,"MAINTENANCE","FALSE"
1219583744000,1219585521000,"D1PVMC","FALSE"
1219585521000,1219587344000,"SLEW","FALSE"
1219587344000,1219590021000,"EARTH","FALSE"
1219590021000,1219590835000,"SLEW","FALSE"
1219590835000,1219594875000,"NADIR","FALSE"
1219594875000,1219596330000,"SLEW","FALSE"
1219596330000,1219598415000,"EARTH","FALSE"
1219598415000,1219616053000,"EARTH","TRUE"
1219616053000,1219616679000,"SLEW","FALSE"
1219616679000,1219619219000,"NADIR","FALSE"
1219619219000,1219620595000,"SLEW","FALSE"
1219620595000,1219624449000,"EARTH","FALSE"
1219624449000,1219640594000,"EARTH","TRUE"
1219640594000,1219640654000,"EARTH","FALSE"
1219640654000,1219641261000,"SLEW","FALSE"
1219641261000,1219643681000,"INERTIAL","FALSE"
1219643681000,1219645461000,"SLEW","FALSE"
1219645461000,1219660268000,"WARMUP","FALSE"
1219660268000,1219662068000,"SLEW","FALSE"
1219662068000,1219665283000,"EARTH","TRUE"
1219665283000,1219665343000,"EARTH","FALSE"
1219665343000,1219665966000,"SLEW","FALSE"
1219665966000,1219670006000,"NADIR","FALSE"
1219670006000,1219671664000,"SLEW","FALSE"
1219671664000,1219673546000,"EARTH","FALSE"
1219673546000,1219676856000,"EARTH","TRUE"
1219676856000,1219676916000,"EARTH","FALSE"
1219676916000,1219682316000,"MAINTENANCE","FALSE"
1219682316000,1219688321000,"EARTH","FALSE"
1219688321000,1219689170000,"SLEW","FALSE"
1219689170000,1219693150000,"NADIR","FALSE"
1219693150000,1219694950000,"SLEW","FALSE"
1219694950000,1219708747000,"WARMUP","FALSE"
1219708747000,1219710547000,"SLEW","FALSE"
1219710547000,1219714566000,"EARTH","TRUE"
1219714566000,1219714630000,"EARTH","FALSE"
1219714630000,1219715249000,"SLEW","FALSE"
1219715249000,1219719289000,"NADIR","FALSE"
1219719289000,1219720943000,"SLEW","FALSE"
1219720943000,1219727765000,"EARTH","TRUE"
1219727765000,1219729565000,"SLEW","FALSE"
1219729565000,1219735568000,"WARMUP","FALSE"
1219735568000,1219737368000,"SLEW","FALSE"
1219737368000,1219739168000,"EARTH","FALSE"
1219739168000,1219739771000,"SLEW","FALSE"
1219739771000,1219742371000,"INERTIAL","FALSE"
1219742371000,1219744171000,"SLEW","FALSE"
1219744171000,1219758915000,"WARMUP","FALSE"
1219758915000,1219760715000,"SLEW","FALSE"
1219760715000,1219762515000,"EARTH","FALSE"
1219762515000,1219763329000,"SLEW","FALSE"
1219763329000,1219767369000,"NADIR","FALSE"
1219767369000,1219769169000,"SLEW","FALSE"
1219769169000,1219775480000,"WARMUP","FALSE"
1219775480000,1219780880000,"MAINTENANCE","FALSE"
1219780880000,1219784400000,"D1PVMC","FALSE"
1219784400000,1219786200000,"SLEW","FALSE"
1219786200000,1219789159000,"EARTH","FALSE"
1219789159000,1219789836000,"SLEW","FALSE"
1219789836000,1219791776000,"INERTIAL","FALSE"
1219791776000,1219792453000,"SLEW","FALSE"
