sz,sa,sx,sy,date,subsystem,utb_ms,ute_ms,type,flagcomms,description,sunmars_km,eclipseduration_min,solarconstantmars,sunmarsearthangle_deg,earthmars_km,occultationduration_min
0.0,0.0,0.0,0.0,2008-08-22 00:00,75,1219363213000,1219365494000,6,1,1,241938908.363002,4.16666666666667,522.263999026823,19.5650758165222,355756044.048925,27.4
0.0,0.0,0.0,0.0,2008-08-22 00:17,1,0,0,1,1,475,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 00:19,1,0,0,1,1,95,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 00:28,31,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 00:28,32,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 00:28,47,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 00:28,68,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 00:30,1,0,0,1,1,283,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 00:38,1,1219365494000,1219369555000,6,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 00:40,15,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 00:42,1,0,0,1,1,56,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 00:47,95,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 00:57,122,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:05,1,0,0,1,1,153,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:09,12,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:30,1,0,0,1,1,432,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:37,64,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:39,110,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:41,34,0,0,1,1,58,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:41,159,0,0,1,1,58,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:41,133,0,0,1,1,58,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:41,160,0,0,1,1,58,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:44,80,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:44,45,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:44,175,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:45,80,1219369555000,1219369619000,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:45,75,1219369555000,1219369619000,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:45,22,1219369555000,1219369619000,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:45,99,1219369555000,1219369619000,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:45,63,1219369555000,1219369619000,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:45,126,1219369555000,1219369619000,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:46,46,1219369619000,1219370253000,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:46,90,1219369619000,1219370253000,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:46,22,1219369619000,1219370253000,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:49,145,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:50,1,0,0,1,1,36,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:52,150,0,0,1,1,553,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:52,150,0,0,1,1,84,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:52,97,0,0,1,1,553,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:52,97,0,0,1,1,84,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:53,98,0,0,1,1,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:53,44,0,0,1,1,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:53,53,0,0,1,1,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:54,82,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:54,162,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:54,76,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:56,116,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:56,108,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:57,1,1219370253000,1219373093000,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 01:59,129,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 02:00,147,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 02:00,142,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2008-08-22 02:01,1,0,0,1,1,83,0.0,0.0,0.0,0.0,0.0,0.0
