utb_ms,ute_ms,type,flagcomms
1338078562000,1338080362000,"SLEW","FALSE"
1338080362000,1338083482000,"EARTH","TRUE"
1338083482000,1338085282000,"SLEW","FALSE"
1338085282000,1338086202000,"INERTIAL","FALSE"
1338086202000,1338087712000,"SLEW","FALSE"
1338087712000,1338092952000,"D4PNPO","FALSE"
1338092952000,1338094152000,"SLEW","FALSE"
1338094152000,1338107725000,"EARTH","FALSE"
1338107725000,1338108925000,"SLEW","FALSE"
1338108925000,1338112287000,"INERTIAL","FALSE"
1338112287000,1338113659000,"SLEW","FALSE"
1338113659000,1338118719000,"D4PNPO","FALSE"
1338118719000,1338119919000,"SLEW","FALSE"
1338119919000,1338135605000,"EARTH","FALSE"
1338135605000,1338136844000,"SLEW","FALSE"
1338136844000,1338140884000,"NADIR","FALSE"
1338140884000,1338142084000,"SLEW","FALSE"
1338142084000,1338159489000,"EARTH","FALSE"
1338159489000,1338160689000,"SLEW","FALSE"
1338160689000,1338162161000,"INERTIAL","FALSE"
1338162161000,1338163809000,"SLEW","FALSE"
1338163809000,1338169049000,"D4PNPO","FALSE"
1338169049000,1338170249000,"SLEW","FALSE"
1338170249000,1338172025000,"EARTH","FALSE"
1338172025000,1338174725000,"MAINTENANCE","FALSE"
1338174725000,1338177425000,"MAINTENANCE","FALSE"
1338177425000,1338186064000,"EARTH","FALSE"
1338186064000,1338187264000,"SLEW","FALSE"
1338187264000,1338191338000,"ACROSS_TRACK","FALSE"
1338191338000,1338192538000,"SLEW","FALSE"
1338192538000,1338206853000,"EARTH","FALSE"
1338206853000,1338208354000,"SLEW","FALSE"
1338208354000,1338209154000,"INERTIAL","FALSE"
1338209154000,1338211444000,"SLEW","FALSE"
1338211444000,1338216804000,"D4PNPO","FALSE"
1338216804000,1338218004000,"SLEW","FALSE"
1338218004000,1338224243000,"EARTH","FALSE"
1338224243000,1338225443000,"SLEW","FALSE"
1338225443000,1338226663000,"INERTIAL","FALSE"
1338226663000,1338227863000,"SLEW","FALSE"
1338227863000,1338236221000,"EARTH","FALSE"
1338236221000,1338237493000,"SLEW","FALSE"
1338237493000,1338241555000,"NADIR","FALSE"
1338241555000,1338242755000,"SLEW","FALSE"
1338242755000,1338247529000,"EARTH","FALSE"
1338247529000,1338252929000,"MAINTENANCE","FALSE"
